width,height,channels,size_in_bytes,image_path,person
299,300,3,19857,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg1.jpg,pins_mark zuckerberg
299,299,3,20391,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg50.jpg,pins_mark zuckerberg
299,299,3,16521,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg44.jpg,pins_mark zuckerberg
299,299,3,18087,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg45.jpg,pins_mark zuckerberg
299,299,3,22651,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg51.jpg,pins_mark zuckerberg
299,299,3,17057,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg0.jpg,pins_mark zuckerberg
299,299,3,21467,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg2.jpg,pins_mark zuckerberg
299,299,3,19829,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg47.jpg,pins_mark zuckerberg
299,299,3,25188,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg53.jpg,pins_mark zuckerberg
299,299,3,18948,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg52.jpg,pins_mark zuckerberg
299,299,3,22229,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg46.jpg,pins_mark zuckerberg
299,299,3,16806,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg3.jpg,pins_mark zuckerberg
299,299,3,26041,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg7.jpg,pins_mark zuckerberg
299,299,3,22652,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg42.jpg,pins_mark zuckerberg
299,299,3,23217,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg56.jpg,pins_mark zuckerberg
299,299,3,22287,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg57.jpg,pins_mark zuckerberg
299,299,3,23596,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg43.jpg,pins_mark zuckerberg
299,299,3,12077,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg6.jpg,pins_mark zuckerberg
299,299,3,19926,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg4.jpg,pins_mark zuckerberg
299,299,3,22310,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg55.jpg,pins_mark zuckerberg
299,299,3,24783,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg41.jpg,pins_mark zuckerberg
299,299,3,23008,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg40.jpg,pins_mark zuckerberg
299,299,3,22146,/content/drive/My Drive/AIML/Computer Vision/project/PINS/PINS/pins_mark zuckerberg/mark zuckerberg54.jpg,pins_mark zuckerberg
